区域,标题,总价,单价,位置,信息
成都,源上湾国际社区千叶郡 3室1厅 东, 97万,"11,233元/平",源上湾国际社区千叶郡    -  新都城区 ,3室1厅 | 86.36平米 | 东 | 简装 | 高楼层(共29层)  | 板塔结合
成都,珠江御景湾 3室2厅 东北, 203万,"15,291元/平",珠江御景湾    -  珠江新城 ,3室2厅 | 132.76平米 | 东北 | 精装 | 中楼层(共18层) | 2015年建 | 板塔结合
成都,新城吾悦广场 3室2厅 东, ,"参考价:15,886元/平",新城吾悦广场    -  龙泉驿城区 ,3室2厅 | 95.76平米 | 东 | 精装 | 低楼层(共34层) | 2016年建 | 板塔结合
成都,金茂悦龙山 3室1厅 西南, ,"参考价:15,479元/平",金茂悦龙山    -  大面 ,3室1厅 | 84.84平米 | 西南 | 精装 | 中楼层(共33层)  | 塔楼
成都,炜岸城一期 3室2厅 西南, ,"参考价:14,318元/平",炜岸城一期    -  大面 ,3室2厅 | 102.87平米 | 西南 | 精装 | 低楼层(共33层) | 2016年建 | 板塔结合
成都,电建地产云立方 3室2厅 东, ,"参考价:14,631元/平",电建地产云立方    -  大面 ,3室2厅 | 100.06平米 | 东 | 精装 | 低楼层(共34层) | 2015年建 | 板塔结合
成都,双林路332号 2室1厅 南, 82万,"11,071元/平",双林路332号    -  猛追湾 ,2室1厅 | 74.07平米 | 南 | 简装 | 高楼层(共7层) | 1998年建 | 板塔结合
成都,鑫苑名家一期 3室1厅 东南, 160万,"20,277元/平",鑫苑名家一期    -  卓锦城 ,3室1厅 | 78.91平米 | 东南 | 精装 | 中楼层(共34层) | 2011年建 | 板塔结合
成都,天赋龙庭 3室2厅 南, 140万,"13,593元/平",天赋龙庭    -  十陵 ,3室2厅 | 103平米 | 南 | 精装 | 中楼层(共24层)  | 板塔结合
成都,金牛万达C组团 3室2厅 南, 202万,"21,051元/平",金牛万达C组团    -  金牛万达 ,3室2厅 | 95.96平米 | 南 | 精装 | 高楼层(共32层) | 2012年建 | 塔楼
成都,霏红榭 3室1厅 东南, 98万,"11,161元/平",霏红榭    -  航天 ,3室1厅 | 87.81平米 | 东南 | 精装 | 低楼层(共18层) | 2015年建 | 板塔结合
成都,檀香山 4室2厅 东南, 350万,"25,685元/平",檀香山    -  高朋 ,4室2厅 | 136.27平米 | 东南 | 精装 | 18层 | 2009年建 | 板塔结合
成都,红牌楼广场 3室1厅 东南, ,"参考价:17,403元/平",红牌楼广场    -  丽都 ,3室1厅 | 95.76平米 | 东南 | 精装 | 高楼层(共17层) | 2007年建 | 板塔结合
成都,欣茂大峰景 3室2厅 南, ,"参考价:12,395元/平",欣茂大峰景    -  大丰 ,3室2厅 | 82.84平米 | 南 | 精装 | 低楼层(共27层) | 2013年建 | 板塔结合
成都,保利城一期 2室2厅 南, ,"参考价:12,145元/平",保利城一期    -  大丰 ,2室2厅 | 75.44平米 | 南 | 精装 | 低楼层(共18层) | 2015年建 | 板塔结合
成都,龙城 3室1厅 西北, 139万,"16,760元/平",龙城    -  驷马桥 ,3室1厅 | 82.94平米 | 西北 | 精装 | 中楼层(共18层) | 2012年建 | 板塔结合
成都,巴黎春天 3室2厅 东南, 120万,"11,440元/平",巴黎春天    -  河东新区 ,3室2厅 | 104.9平米 | 东南 | 精装 | 中楼层(共26层) | 2012年建 | 板塔结合
成都,招商雍华府二期 3室2厅 南, 217万,"23,685元/平",招商雍华府二期    -  驷马桥 ,3室2厅 | 91.62平米 | 南 | 精装 | 高楼层(共20层) | 2014年建 | 板塔结合
成都,千和馨城 3室2厅 北, 145万,"16,327元/平",千和馨城    -  蜀汉路 ,3室2厅 | 88.81平米 | 北 | 精装 | 高楼层(共17层) | 2006年建 | 板塔结合
成都,金色阳光 3室1厅 南, 192万,"14,752元/平",金色阳光    -  花照壁 ,3室1厅 | 130.16平米 | 南 | 精装 | 中楼层(共6层) | 2003年建 | 板楼
成都,置信清水湾 3室1厅 东, 155万,"17,596元/平",置信清水湾    -  万家湾 ,3室1厅 | 88.09平米 | 东 | 简装 | 高楼层(共26层) | 2010年建 | 塔楼
成都,光华逸家 3室1厅 东南, 248万,"27,455元/平",光华逸家    -  外光华 ,3室1厅 | 90.33平米 | 东南 | 精装 | 低楼层(共22层) | 2014年建 | 板塔结合
成都,和裕欧景 2室1厅 西, 40万,"5,868元/平",和裕欧景    -  金堂 ,2室1厅 | 68.17平米 | 西 | 简装 | 低楼层(共25层)  | 塔楼
成都,东珠美地 3室1厅 东南, 190万,"21,847元/平",东珠美地    -  草市街 ,3室1厅 | 86.97平米 | 东南 | 简装 | 中楼层(共18层) | 2002年建 | 板塔结合
成都,海天阁 2室2厅 东, 108万,"14,854元/平",海天阁    -  五大花园 ,2室2厅 | 72.71平米 | 东 | 简装 | 中楼层(共6层) | 2003年建 | 板楼
成都,欧郡 3室2厅 南 东南, 140万,"14,441元/平",欧郡    -  温江老城 ,3室2厅 | 96.95平米 | 南 东南 | 毛坯 | 高楼层(共26层)  | 板塔结合
成都,荣盛花语城 3室1厅 南, 201.8万,"27,785元/平",荣盛花语城    -  外光华 ,3室1厅 | 72.63平米 | 南 | 精装 | 中楼层(共17层) | 2014年建 | 塔楼
成都,派克公馆 2室2厅 东北, 85万,"12,534元/平",派克公馆    -  成外 ,2室2厅 | 67.82平米 | 东北 | 精装 | 低楼层(共18层) | 2011年建 | 塔楼
成都,星光华印象 2室1厅 北, ,"参考价:13,046元/平",星光华印象    -  温江新城 ,2室1厅 | 64.56平米 | 北 | 精装 | 中楼层(共34层) | 2017年建 | 板塔结合
成都,上善天成二期 3室2厅 东南, 110万,"10,029元/平",上善天成二期    -  红光 ,3室2厅 | 109.69平米 | 东南 | 精装 | 中楼层(共11层)  | 板塔结合
成都,东立国际花城 2室1厅 南, 115万,"14,665元/平",东立国际花城    -  蛟龙港 ,2室1厅 | 78.42平米 | 南 | 精装 | 中楼层(共15层) | 2015年建 | 板塔结合
成都,西区花园水云涧 4室1厅 东南, 130万,"9,577元/平",西区花园水云涧    -  犀浦 ,4室1厅 | 135.75平米 | 东南 | 简装 | 高楼层(共6层) | 2005年建 | 板楼
成都,和贵久居福 2室2厅 东南, 135万,"15,464元/平",和贵久居福    -  航空港 ,2室2厅 | 87.3平米 | 东南 | 精装 | 高楼层(共18层) | 2008年建 | 板塔结合
成都,凯德风尚 3室1厅 东, 240万,"27,252元/平",凯德风尚    -  外光华 ,3室1厅 | 88.07平米 | 东 | 简装 | 中楼层(共19层) | 2012年建 | 板塔结合
成都,溪地湾 3室1厅 东北, ,"参考价:12,887元/平",溪地湾    -  犀浦 ,3室1厅 | 73.81平米 | 东北 | 精装 | 中楼层(共33层) | 2015年建 | 塔楼
成都,蜀都花园 3室2厅 西南 西, 220万,"16,760元/平",蜀都花园    -  水碾河 ,3室2厅 | 131.27平米 | 西南 西 | 简装 | 高楼层(共22层) | 2003年建 | 塔楼
成都,红树湾 3室2厅 东, 248万,"21,911元/平",红树湾    -  中和 ,3室2厅 | 113.19平米 | 东 | 精装 | 中楼层(共39层) | 2010年建 | 板塔结合
成都,中国西部文化城 3室2厅 南 北, 135万,"15,099元/平",中国西部文化城    -  光华大道沿线 ,3室2厅 | 89.41平米 | 南 北 | 毛坯 | 高楼层(共18层) | 2017年建 | 板塔结合
成都,温哥华花园六期 3室1厅 北, 145万,"14,467元/平",温哥华花园六期    -  航空港 ,3室1厅 | 100.23平米 | 北 | 精装 | 高楼层(共16层) | 2013年建 | 塔楼
成都,上风瑞庭 3室1厅 东南, 149万,"12,628元/平",上风瑞庭    -  光华大道沿线 ,3室1厅 | 118平米 | 东南 | 毛坯 | 中楼层(共18层) | 2012年建 | 板塔结合
成都,皇家花园 2室1厅 南, 68万,"10,349元/平",皇家花园    -  五大花园 ,2室1厅 | 65.71平米 | 南 | 简装 | 中楼层(共7层) | 1999年建 | 板楼
成都,合能珍宝琥珀 2室1厅 东南 西, ,"参考价:12,205元/平",合能珍宝琥珀    -  光华大道沿线 ,2室1厅 | 65.2平米 | 东南 西 | 精装 | 中楼层(共34层) | 2014年建 | 板塔结合
成都,印象金沙 3室1厅 东, 160万,"17,688元/平",印象金沙    -  金沙 ,3室1厅 | 90.46平米 | 东 | 简装 | 高楼层(共12层) | 2007年建 | 板塔结合
成都,地铁首座 2室1厅 东南, 90万,"13,212元/平",地铁首座    -  温江大学城 ,2室1厅 | 68.12平米 | 东南 | 精装 | 高楼层(共32层) | 2017年建 | 板塔结合
成都,金茂悦龙山 3室2厅 南, ,"参考价:15,479元/平",金茂悦龙山    -  大面 ,3室2厅 | 97.29平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼
成都,锦江城市花园三期 2室1厅 西北, 118万,"20,677元/平",锦江城市花园三期    -  三圣乡 ,2室1厅 | 57.07平米 | 西北 | 毛坯 | 高楼层(共34层) | 2011年建 | 板塔结合
成都,滨江国际 4室2厅 西南, 125.8万,"9,755元/平",滨江国际    -  都江堰 ,4室2厅 | 128.96平米 | 西南 | 精装 | 中楼层(共16层) | 2009年建 | 塔楼
成都,翠微清波A区 3室2厅 东南, 240万,"20,302元/平",翠微清波A区    -  外金沙 ,3室2厅 | 118.22平米 | 东南 | 精装 | 低楼层(共18层) | 2008年建 | 板塔结合
成都,南城都汇汇雅园二期 2室2厅 南, 263万,"29,455元/平",南城都汇汇雅园二期    -  市一医院 ,2室2厅 | 89.29平米 | 南 | 精装 | 中楼层(共18层) | 2011年建 | 板塔结合
成都,颐和京都 2室2厅 西, 150万,"17,862元/平",颐和京都    -  万家湾 ,2室2厅 | 83.98平米 | 西 | 简装 | 高楼层(共21层) | 2010年建 | 塔楼
成都,蓝光圣菲town城 3室1厅 北, ,"参考价:15,195元/平",蓝光圣菲town城    -  航空港 ,3室1厅 | 86.36平米 | 北 | 简装 | 高楼层(共22层) | 2009年建 | 板塔结合
成都,清溪雅筑 3室2厅 西北, 149万,"16,680元/平",清溪雅筑    -  万家湾 ,3室2厅 | 89.33平米 | 西北 | 简装 | 低楼层(共18层) | 2012年建 | 塔楼
成都,华润橡树湾B区 4室2厅 西南, 220万,"14,137元/平",华润橡树湾B区    -  橡树湾 ,4室2厅 | 155.63平米 | 西南 | 精装 | 高楼层(共6层) | 2013年建 | 板塔结合
成都,金山郡 5室2厅 东南, 110万,"11,243元/平",金山郡    -  金堂 ,5室2厅 | 97.84平米 | 东南 | 精装 | 低楼层(共6层)  | 板楼
成都,北新上锦 3室1厅 南, ,"参考价:11,476元/平",北新上锦    -  大丰 ,3室1厅 | 82.43平米 | 南 | 其他 | 低楼层(共28层)  | 板塔结合
成都,外滩 3室2厅 东南, 308万,"24,364元/平",外滩    -  九眼桥 ,3室2厅 | 126.42平米 | 东南 | 简装 | 中楼层(共41层) | 2009年建 | 板塔结合
成都,优品尚东 2室2厅 南, ,"参考价:15,649元/平",优品尚东    -  万年场 ,2室2厅 | 96.41平米 | 南 | 简装 | 中楼层(共18层) | 2009年建 | 板塔结合
成都,保利城一期 2室1厅 南, ,"参考价:12,145元/平",保利城一期    -  大丰 ,2室1厅 | 72.77平米 | 南 | 精装 | 中楼层(共18层) | 2014年建 | 板塔结合
成都,众合西景 3室2厅 南, 187万,"14,010元/平",众合西景    -  外双楠 ,3室2厅 | 133.48平米 | 南 | 精装 | 6层 | 2003年建 | 板楼
成都,丽都花园丽府 4室2厅 西南, 425万,"24,420元/平",丽都花园丽府    -  丽都 ,4室2厅 | 174.04平米 | 西南 | 毛坯 | 低楼层(共18层) | 2011年建 | 板楼
成都,龙腾东麓城 3室2厅 西北, 88万,"12,849元/平",龙腾东麓城    -  东山 ,3室2厅 | 68.49平米 | 西北 | 简装 | 中楼层(共31层) | 2016年建 | 板塔结合
